Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Denise Blunt,1.0,"The class was entertaining

The class was entertaining, interesting & helpful",US,1,2022-08-08T07:13:07Z,"Comedy Driving, Inc."
Adriana,1.0,This course was very effective.,US,1,2022-08-08T05:36:05Z,"Comedy Driving, Inc."
Tyler,1.0,"It was great

It was great. It taught me a lot.",US,1,2022-08-08T04:19:17Z,"Comedy Driving, Inc."
Connie,1.0,"Was very informative and kept my…

Was very informative and kept my interest",US,1,2022-08-07T23:10:22Z,"Comedy Driving, Inc."
Taneisha,0.8,"Almost same material when i took the…

Almost same material when i took the class a year and half ago. But I did enjoy it. And great price.",US,1,2022-08-06T23:39:51Z,"Comedy Driving, Inc."
nicholas,1.0,"Best course on line

Very good comedy videos easy to log in and out did it and about day and half in the comfort of my house recommend to others.",US,4,2022-08-06T21:39:46Z,"Comedy Driving, Inc."
Patricia Tarpey,0.8,"This course was informative just not…

This course was informative just not very funny.",US,2,2022-08-06T19:31:53Z,"Comedy Driving, Inc."
Laura,1.0,"Laura's driving course

Very enjoyable and easy to follow.",US,1,2022-08-06T19:12:52Z,"Comedy Driving, Inc."
Iqbal,1.0,"There is no final test

There is no final test, very good presented course and very valuable information.",US,1,2022-08-06T18:54:41Z,"Comedy Driving, Inc."
LAURA,1.0,"Minor technical difficulties getting started but smooth sailing From that point forwards

The only issue I had with this online comedy defensive driving driving course was initially my tablet screen frequently froze or the timer for the course was running but no course was displayed on my screen. After checking the Q&A section, there were instructions on resetting the router. I reset my router and everything worked fine afterwards.",US,2,2022-08-06T14:03:26Z,"Comedy Driving, Inc."
Dom,1.0,"Straight to the point

The info is well presented & informative in a professional manner.",US,2,2022-08-08T18:38:42Z,"Comedy Driving, Inc."
Carolyn,1.0,"Good help when I had any questions

Good help when I had any questions. Any time I called they were there.",US,1,2022-08-06T02:41:23Z,"Comedy Driving, Inc."
Paul,1.0,"Watch out for the gotchas.

Two or three or sometimes four academic questions are asked at the end of each section. But watch out, one section asks the color of the drivers shirt. I wasn't watching because I was listening while I was doing chores. So, I got that question wrong and had to listen to it all again. Then I was asked what kind of car was used in the lesson. I thought it was an SUV, but that wasn't one of the answers. I feel sorry for a woman that doesn't know the difference between a smart car and a VW Beetle because those were two of the choices. My wife doesn't know what a smart car is. She thinks that it is a car that drives itself. Gotcha",US,1,2022-08-06T01:49:15Z,"Comedy Driving, Inc."
Tuan,1.0,Highly recommended!!!,US,1,2022-08-06T01:02:51Z,"Comedy Driving, Inc."
Jaxon,1.0,"great defensive driving course

this was a fantastic defensive driving course!",US,1,2022-08-05T21:50:16Z,"Comedy Driving, Inc."
Steven,0.8,Feed could be intermittent,US,1,2022-08-04T23:09:04Z,"Comedy Driving, Inc."
Alexia,1.0,"When you make something that you can…

When you make something that you can have fun watching and learning at the same time, that's what Comedy Driving did for me. I would watch it again because funny humor that was in the teaching",US,1,2022-08-04T20:25:19Z,"Comedy Driving, Inc."
Mike K.,1.0,"Thank You for Your Class!

Thank you for your Defensive Driving Class! You made some very tedious content at least bearable and at times even entertaining! The pricing for your class was also most reasonable. Thank you again for making the best of the time we were required to spend together...",US,1,2022-08-04T20:05:57Z,"Comedy Driving, Inc."
Lawrence,1.0,"One of the best out there for defensive…

One of the best out there for defensive driving.",US,1,2022-08-03T23:02:46Z,"Comedy Driving, Inc."
Troy,1.0,"Easy to follow

Easy to follow. The pain of doing a driving course was over before I knew it.",US,1,2022-08-03T04:48:41Z,"Comedy Driving, Inc."
Anthony,1.0,"Refresher Course

It was an informative course that should be taken as a refresher for younger drivers every 10 years and every 5 years after 55 years old as a refresher.",US,1,2022-08-03T03:31:42Z,"Comedy Driving, Inc."
Jared,1.0,"Good

Easy to complete",US,1,2022-08-03T00:38:05Z,"Comedy Driving, Inc."
Jessica,1.0,"I really enjoyed this course

I really enjoyed this course, it was easy to use and navigate. The quality and sound of the videos is great. The course is fun, entertaining, and cute. I would recommend to everyone I know that needs to take a defensive driving course.",US,1,2022-08-02T23:31:54Z,"Comedy Driving, Inc."
Julie Brown Acapelladiva,1.0,Wonderful course for defensive driving. Great to see updated tips for driving safely.,US,2,2022-08-02T08:43:04Z,"Comedy Driving, Inc."
Michael,1.0,good stuff.com,US,1,2022-08-02T03:26:10Z,"Comedy Driving, Inc."
Busy Parent,1.0,"The availability to log in from…

The availability to log in from different devices is helpful with a busy schedule. Classes & videos keep ones attention & keeps you moving thru the course. So glad Defensive Driving courses like this are available for busy working parents.",US,1,2022-08-02T02:02:13Z,"Comedy Driving, Inc."
Emanuel,0.8,"The course is easy to take

The course is easy to take. The screens are simple to maneuver, chapters not over-bearing, nor too long. The material is informative, good humor, and at times..touches the heart.",US,1,2022-08-02T00:54:52Z,"Comedy Driving, Inc."
Gloria,1.0,"Easy to understand

Easy to understand, knowledge",US,1,2022-08-01T23:25:33Z,"Comedy Driving, Inc."
Amy,1.0,"Recommend to everyone to use this…

Recommend to everyone to use this course to help you with defensive driving. It's an easy course to take online and Email your certificate of completion in minutes when done!",US,1,2022-08-01T22:52:15Z,"Comedy Driving, Inc."
Andrea,1.0,"Comedy defensive driving

I like the class on liner and the comedy. I had a slight glitch initially and called the office at it was resolved immediately. Definitely recommend this company.",US,1,2022-08-01T20:29:31Z,"Comedy Driving, Inc."
Rose,0.8,"This was an effective and painless way…

This was an effective and painless way to take a driving course. Some content was a bit outdated, but I still felt it did the job!",US,1,2022-08-01T19:44:17Z,"Comedy Driving, Inc."
Luis,0.2,Great and easy to navigate the course,US,3,2022-08-01T11:50:00Z,"Comedy Driving, Inc."
Sharon,1.0,"awesome

I learned everything in a funny way.",US,1,2022-08-01T07:17:05Z,"Comedy Driving, Inc."
