Index,Compagny,Typo,Nb_reviews,Rating,Website,review_link,SubCategory
43,DriveTime,Car Dealer,21033,4.1,https://www.www.drivetime.com,https://www.trustpilot.com/review/www.drivetime.com,Car Accessories Store 
44,Daily Direct HAULBIKES,Motorcycle Dealer,13819,4.1,https://www.haulbikes.com,https://www.trustpilot.com/review/haulbikes.com,Car Accessories Store 
45,etrailer,Car Accessories Store,4108,4.1,https://www.etrailer.com,https://www.trustpilot.com/review/etrailer.com,Car Accessories Store 
46,Parts Geek,Auto Parts Store,156166,4.0,https://www.www.partsgeek.com,https://www.trustpilot.com/review/www.partsgeek.com,Car Accessories Store 
47,CarTrawler,Car Rental Agency,57727,4.0,https://www.www.cartrawler.com,https://www.trustpilot.com/review/www.cartrawler.com,Car Accessories Store 
48,RentingCarz.com,Car Rental Agency,10018,4.0,https://www.rentingcarz.com,https://www.trustpilot.com/review/rentingcarz.com,Car Accessories Store 
49,Martz Group,Car Accessories Store,2306,3.5,https://www.martzgroup.com,https://www.trustpilot.com/review/martzgroup.com,Car Accessories Store 
50,MyUS.com,Courier Service,7599,3.2,https://www.myus2.myus.com,https://www.trustpilot.com/review/myus2.myus.com,Car Accessories Store 
51,ECS Tuning LLC.,Car Accessories Store,3849,3.2,https://www.www.ecstuning.com,https://www.trustpilot.com/review/www.ecstuning.com,Car Accessories Store 
52,Green Motion International,Car Rental Agency,4846,3.0,https://www.greenmotion.com,https://www.trustpilot.com/review/greenmotion.com,Car Accessories Store 
53,Automotix,Auto Parts Store,3166,3.0,https://www.automotix.net,https://www.trustpilot.com/review/automotix.net,Car Accessories Store 
54,Bravofly,Flights Search Site,20393,2.3,https://www.www.bravofly.com,https://www.trustpilot.com/review/www.bravofly.com,Car Accessories Store 
55,Enterprise,Car Rental Agency,20098,2.3,https://www.www.enterprise.com,https://www.trustpilot.com/review/www.enterprise.com,Car Accessories Store 
56,Asda,Children's Clothing Store,10709,1.4,https://www.www.asda.com,https://www.trustpilot.com/review/www.asda.com,Car Accessories Store 
57,Firefly Car Rental,Car Rental Agency,2300,1.3,https://www.fireflycarrental.com,https://www.trustpilot.com/review/fireflycarrental.com,Car Accessories Store 
58,Aceable,Driving School,36802,4.9,https://www.www.aceable.com,https://www.trustpilot.com/review/www.aceable.com,Car Accessories Store 
59,We Buy Any Car® USA,Car Dealer,31919,4.9,https://www.webuyanycarusa.com,https://www.trustpilot.com/review/webuyanycarusa.com,Car Accessories Store 
60,"Comedy Driving, Inc.",Driving School,4118,4.9,https://www.comedydriving.com,https://www.trustpilot.com/review/comedydriving.com,Car Accessories Store 
61,iDriveSafely,Driving School,19165,4.8,https://www.www.idrivesafely.com,https://www.trustpilot.com/review/www.idrivesafely.com,Car Accessories Store 
62,Miles Car Rental,Car Rental Agency,7640,4.8,https://www.milescarrental.com,https://www.trustpilot.com/review/milescarrental.com,Car Accessories Store 
63,Marine Parts Source,Boat Accessories Store,7421,4.8,https://www.marinepartssource.com,https://www.trustpilot.com/review/marinepartssource.com,Car Accessories Store 
64,Michigan Truck Spring,Auto Parts Store,6363,4.8,https://www.truckspring.com,https://www.trustpilot.com/review/truckspring.com,Car Accessories Store 
65,ChromeBurner Motorgear,Motorcycle Shop,4434,4.8,https://www.www.chromeburner.com,https://www.trustpilot.com/review/www.chromeburner.com,Car Accessories Store 
66,ForeverCar,Car Service,4312,4.8,https://www.forevercar.com,https://www.trustpilot.com/review/forevercar.com,Car Accessories Store 
67,procivic.com,Car Accessories Store,4268,4.8,https://www.procivic.com,https://www.trustpilot.com/review/procivic.com,Car Accessories Store 
68,Street Smart® Transmission,Auto Parts Store,4251,4.8,https://www.streetsmarttransmission.com,https://www.trustpilot.com/review/streetsmarttransmission.com,Car Accessories Store 
69,Hot Shot's Secret,Car Accessories Store,2689,4.8,https://www.hotshotsecret.com,https://www.trustpilot.com/review/hotshotsecret.com,Car Accessories Store 
70,Wheelzy,Car Accessories Store,27190,4.7,https://www.wheelzy.com,https://www.trustpilot.com/review/wheelzy.com,Car Accessories Store 
